"sbd","van","ngoaingu","toan"
954,8.5,6.5,6
955,7.5,4,4
956,8.25,3,3.25
957,7,3.5,4.75
958,8,3,4.25
959,7.5,6,5.5
960,6.75,3.5,2.5
961,8.5,5.5,2.5
962,6.5,4.5,4.5
963,8.5,7.75,6
964,8.5,8.5,4.75
965,6.5,6.5,2.25
966,7,4.25,0.5
967,8,3.25,3.25
968,8,8.25,7
969,7.5,4.5,2.5
971,7.5,6.5,5.25
972,8.25,7.5,7.25
973,6.75,4.25,2.75
974,7.5,8.5,3.5
975,7.5,6.5,2.75
976,7.75,6.5,5
977,8.25,9,6.25
978,7.75,4.25,5
979,8.5,5.75,7
980,8.25,4.25,7
981,6.5,6.75,4.25
982,8.5,9,6
984,7.5,7.25,5
985,7.75,4.75,5
986,7.75,8.75,8
987,8,7,7.25
988,4.25,4.75,2.75
989,6.5,7.5,3.25
990,7,7.25,5
991,7.75,8.25,4.75
992,5.75,7.5,2.5
993,6.75,5,4.25
994,7.25,8.25,5
995,6,3,3.75
996,7.25,8.25,4.25
997,7.25,3.25,4.25
998,7.5,7.25,6.5
999,7.75,7.75,5
1000,5.25,3.5,2.25
1001,6.25,8,6.75
1002,8.5,8.5,4.75
1003,8,7.25,4.25
1004,4.25,3.25,5
1005,7.75,8.25,7
1006,7,3.75,3.25
1007,8.5,9.75,7.75
1008,7.5,6,6
1009,7.75,10,6.75
1010,7.75,9,7.25
1011,5.75,8.25,3
1012,7.25,6.75,4.5
1014,7.25,4,6
1015,5.5,4.75,3.75
1016,6.5,6,4.25
1017,8.5,7.25,3.75
1018,8,6,4.5
1019,7.75,3.5,3.25
1020,6.75,2.5,2.75
1021,7.75,3.5,5
1022,6.5,3.75,2.25
1023,8,3.75,4
1024,5.5,4,4
1025,7.5,3.5,4
1026,7.75,7.25,4.75
1027,8.25,6.75,4.25
1029,6,2.25,3.75
1030,7.5,7.25,6.5
1031,8,8.5,5.25
1032,8.5,8.25,7.25
1033,7.75,9,6
1034,7,3.75,4.5
1035,6.25,5,4.5
1036,6.5,8.5,5
1037,8.75,9.5,8
1038,8,9.25,6
1039,8.5,8.5,6.25
1040,6.75,3.75,4.25
1041,7.75,6.5,4.75
1042,8.75,9,6.25
1043,8.25,8.5,6.25
1044,7.75,6,4.75
1045,8,8.5,6
1046,6.25,4.25,4.5
1047,6,4.5,3.5
1048,7.5,4.25,3.75
1049,6.75,7.75,3.25
1050,7,9,3.5
1051,7.25,8.75,3.5
1052,7,5,3.25
1053,9,8,4.25
1054,7.75,9.25,5.25
1055,6.5,9.5,4.25
1056,8,4.75,3.5
1057,6.25,1.75,4.25
1058,7.25,3,4
1059,7.25,7.5,5.75
1060,6.75,7.75,5
1061,5.25,4.75,5
1062,7,2.75,2.25
1063,5,4,2
1064,8.75,8.5,7
1065,8.25,7.5,6
1066,7.25,4.5,5
1067,6.25,9.75,5.5
1068,5,5.75,4
1069,6,3.25,3.5
1070,7.25,8.5,4.25
1071,7.5,7,4
1072,6.5,7.25,4.75
1073,5.75,4.5,4
1074,8.5,6.75,6.5
1075,8.25,7,5.5
