<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BHN,20161209,124.30,135.70,116.70,135.70,172500,124.30,135.70,116.70,135.70,0,1900,0
BHN,20161208,116.00,124.30,105.10,124.30,213727,116.00,124.30,105.10,124.30,0,0,0
BHN,20161207,100.00,119.10,88.10,116.40,273397,100.00,119.10,88.10,116.40,0,300,1000
BHN,20161206,110.00,111.80,95.00,100.00,122160,110.00,111.80,95.00,100.00,0,100,0
BHN,20161205,109.60,110.00,108.00,109.80,47570,109.60,110.00,108.00,109.80,0,0,0
BHN,20161202,109.50,111.00,107.70,111.00,37231,109.50,111.00,107.70,111.00,0,600,0
BHN,20161201,106.10,111.00,106.00,109.50,85775,106.10,111.00,106.00,109.50,0,0,0
BHN,20161130,106.00,106.60,105.00,106.10,17150,106.00,106.60,105.00,106.10,0,200,0
BHN,20161129,107.00,109.40,105.40,107.00,29500,107.00,109.40,105.40,107.00,0,0,0
BHN,20161128,108.00,111.00,105.50,106.00,64102,108.00,111.00,105.50,106.00,0,0,40000
BHN,20161125,103.10,108.80,103.10,106.20,40279,103.10,108.80,103.10,106.20,0,500,0
BHN,20161124,106.00,108.90,104.10,105.00,46983,106.00,108.90,104.10,105.00,0,0,0
BHN,20161123,108.00,110.00,107.00,107.30,55428,108.00,110.00,107.00,107.30,0,100,0
BHN,20161122,108.90,114.00,108.00,108.00,82797,108.90,114.00,108.00,108.00,0,400,45800
BHN,20161121,100.50,108.00,100.00,107.00,60956,100.50,108.00,100.00,107.00,0,0,0
BHN,20161118,102.50,102.90,99.00,100.10,46670,102.50,102.90,99.00,100.10,0,0,0
BHN,20161117,101.40,102.80,99.70,100.00,69040,101.40,102.80,99.70,100.00,0,0,0
BHN,20161116,110.00,110.00,104.20,104.30,43723,110.00,110.00,104.20,104.30,0,0,5100
BHN,20161115,110.00,115.40,107.00,110.00,65796,110.00,115.40,107.00,110.00,0,0,24100
BHN,20161114,100.10,122.00,100.10,107.00,81180,100.10,122.00,100.10,107.00,1300,0,0
BHN,20161111,128.00,128.00,115.40,115.40,89070,128.00,128.00,115.40,115.40,0,0,4000
BHN,20161110,145.00,161.50,126.10,128.00,82870,145.00,161.50,126.10,128.00,0,0,0
BHN,20161109,166.40,166.40,123.10,137.10,83468,166.40,166.40,123.10,137.10,0,0,13200
BHN,20161108,144.70,144.70,144.00,144.70,118000,144.70,144.70,144.00,144.70,0,0,30000
BHN,20161107,125.90,125.90,125.90,125.90,31570,125.90,125.90,125.90,125.90,0,300,0
BHN,20161104,109.50,109.50,109.50,109.50,13700,109.50,109.50,109.50,109.50,0,0,0
BHN,20161103,95.30,95.30,95.30,95.30,2600,95.30,95.30,95.30,95.30,0,0,0
BHN,20161102,82.90,82.90,82.90,82.90,2400,82.90,82.90,82.90,82.90,0,0,0
BHN,20161101,72.10,72.10,72.10,72.10,150,72.10,72.10,72.10,72.10,0,0,0
BHN,20161031,62.70,62.70,62.70,62.70,100,62.70,62.70,62.70,62.70,40000,40000,0
BHN,20161028,54.60,54.60,54.60,54.60,100,54.60,54.60,54.60,54.60,0,0,0
