Orlando LTZ 1.8,Chevrolet,MPV,Lắp ráp,699,683,1.8 I4,140,176
Captiva 2.4,Chevrolet,SUV,Lắp ráp,879,859,2.4 I4,165,230
Colorado High Country 2.8 AT 4x4,Chevrolet,Pick-up,Nhập khẩu,839,815,2.8 Diesel,193,500
Colorado LTZ 2.8 AT 4x4,Chevrolet,Pick-up,Nhập khẩu,809,792,2.8 Diesel,193,500
Colorado LTZ 2.8 MT 4x4,Chevrolet,Pick-up,Nhập khẩu,789,773,2.8 Diesel,193,440
Colorado LT 2.5 MT 4x4,Chevrolet,Pick-up,Nhập khẩu,649,636,2.5 Diesel,161,380
Colorado LT 2.5 MT 4x2,Chevrolet,Pick-up,Nhập khẩu,619,606,2.5 Diesel,161,380
ES250,Lexus,Sedan,Nhập khẩu,2.28,2.234,2.5 I4,181,235
ES350,Lexus,Sedan,Nhập khẩu,3.21,3.145,3.5 V6,272,346
GS350,Lexus,Sedan,Nhập khẩu,4.39,4.302,3.5 V6,316,380
LS460L,Lexus,Sedan,Nhập khẩu,7.54,7.389,4.6 V8,382,493
NX200t,Lexus,SUV,Nhập khẩu,2.577,2.525,2.0 I4,235,350
GX460,Lexus,SUV,Nhập khẩu,5.06,4.958,4.6 V8,292,438
RX200t,Lexus,SUV,Nhập khẩu,3.06,2.998,2.0 I4,234,350
RX350,Lexus,SUV,Nhập khẩu,3.81,3.733,3.5 V6,295,370
LX570,Lexus,SUV,Nhập khẩu,7.81,7.653,5.7 V8,367,530
GS200t,Lexus,Sedan,Nhập khẩu,3.13,3.067,2.0 I4 turbo,241,350
QX60,Infiniti,SUV,Nhập khẩu,3.399,3.331,3.5 V6,265,334
QX70,Infiniti,SUV,Nhập khẩu,3.899,3.821,3.7 V6,325,360
QX80,Infiniti,SUV,Nhập khẩu,6.999,6.859,5.6 V8,400,560
Mirage CVT,Mitsubishi,Hatchback,Nhập khẩu,522,490,1.2 I3,78,100
Mirage MT,Mitsubishi,Hatchback,Nhập khẩu,448,416,1.2 I3,78,100
Attrage CVT,Mitsubishi,Sedan,Nhập khẩu,541,516,1.2 I3,78,100
Attrage MT,Mitsubishi,Sedan,Nhập khẩu,492,457,1.2 I3,78,100
Outlander Sport CVT,Mitsubishi,Crossover,Nhập khẩu,978,970,2.0 I4,150,197
Pajero Sport G 4x4 AT,Mitsubishi,SUV,Nhập khẩu,1.049,1.028,3.0 V6,220,281
Pajero Sport G 4x2 AT,Mitsubishi,SUV,Nhập khẩu,982,940,3.0 V6,220,281
Pajero Sport D 4x2 MT,Mitsubishi,SUV,Nhập khẩu,804,780,2.5 Diesel,136,314
Pajero 3.0,Mitsubishi,SUV,Nhập khẩu,2.12,2.077,3.0 V6,184,267
Triton 4x4 AT,Mitsubishi,Pick-up,Nhập khẩu,785,769,2.5 Diesel,178,400
Triton 4x4 MT,Mitsubishi,Pick-up,Nhập khẩu,690,630,2.5 Diesel,178,400
Triton 4x2 AT,Mitsubishi,Pick-up,Nhập khẩu,630,612,2.5 Diesel,136,324
Triton 4x2 MT,Mitsubishi,Pick-up,Nhập khẩu,596,557,2.5 Diesel,136,324
Outlander 2.0 STD,Mitsubishi,Crossover,Nhập khẩu,975,950,2.0 I4,145,196
Outlander CVT,Mitsubishi,Crossover,Nhập khẩu,1.123,1.093,2.0 I4,145,196
Outlander 2.4 CVT,Mitsubishi,Crossover,Nhập khẩu,1.275,1.25,2.4 I4,167,222
Pajero Sport 4x2 mới,Mitsubishi,SUV,Nhập khẩu,1.329,1.319,3.0 V6,200,285
Pajero Sport 4x4 mới,Mitsubishi,SUV,Nhập khẩu,1.488,1.47,3.0 V6,200,285
A200,Mercedes,Hatchback,Nhập khẩu,1.339,1.312,1.6 I4,154,250
A250,Mercedes,Hatchback,Nhập khẩu,1.699,1.665,2.0 I4,208,350
